Дата,Изменение наличных денег в обращении (вне Банка России),Всего,движение средств по государственному внутреннему долгу,изменение задолженности банков по депозитам Федерального казначейства,изменение задолженности банков по операциям репо Федерального казначейства,операции Минфина России по покупке (продаже) иностранной валюты на внутреннем валютном рынке*,Регулирование Банком России обязательных резервов кредитных организаций,Интервенции Банка России на внутреннем валютном рынке,Нетто-объем операций Банка России по предоставлению и абсорбированию ликвидности (без учета операций на внутреннем валютном рынке)
2011-01-11,175.82,-95.7,0.0,0.0,0.0,0.0,0.02,0.0,-136.66
2011-01-12,63.45,-64.95,0.0,0.0,0.0,0.0,0.0,0.0,-221.22
2011-01-13,21.76,-10.06,0.0,0.0,0.0,0.0,0.0,4.55,-35.44
2011-01-14,-6.97,-43.33,0.0,0.0,0.0,0.0,0.0,4.52,-40.63
2011-01-17,23.97,-22.38,0.0,0.0,0.0,0.0,0.0,0.22,33.6
2011-01-18,12.25,-13.04,0.0,0.0,0.0,0.0,0.0,5.53,42.95
2011-01-19,6.39,-35.21,0.0,0.0,0.0,0.0,0.0,4.48,-64.97
2011-01-20,-4.27,-184.68,0.0,0.0,0.0,0.0,0.0,4.48,61.63
2011-01-21,-6.35,11.09,0.0,0.0,0.0,0.0,0.0,0.56,11.28
2011-01-24,31.13,-38.04,0.0,0.0,0.0,0.0,-0.13,0.0,-4.68
2011-01-25,25.58,-182.75,0.0,0.0,0.0,0.0,2.04,0.0,186.36
2011-01-26,15.06,-64.81,0.0,0.0,0.0,0.0,-5.68,0.0,16.54
2011-01-27,2.88,4.57,0.0,0.0,0.0,0.0,0.0,0.0,48.95
2011-01-28,-1.0,4.62,0.0,0.0,0.0,0.0,0.02,0.0,-5.8
2011-01-31,29.18,10.67,0.0,0.0,0.0,0.0,0.0,0.0,-26.47
2011-02-01,18.05,61.24,0.0,0.0,0.0,0.0,0.0,0.0,-161.05
2011-02-02,0.31,-9.83,0.0,0.0,0.0,0.0,0.0,0.0,-28.66
2011-02-03,-18.12,72.45,0.0,0.0,0.0,0.0,2.2,4.42,-58.08
2011-02-04,-33.55,39.05,0.0,0.0,0.0,0.0,0.0,4.4,17.99
2011-02-07,12.35,23.86,0.0,0.0,0.0,0.0,0.0,4.41,-68.19
2011-02-08,3.68,36.62,0.0,0.0,0.0,0.0,0.0,4.9,-54.25
2011-02-09,-10.34,59.25,0.0,0.0,0.0,0.0,0.0,4.75,-63.9
2011-02-10,-23.3,-7.81,0.0,0.0,0.0,0.0,0.0,4.4,40.47
2011-02-11,-38.64,6.94,0.0,0.0,0.0,0.0,0.09,4.47,0.16
2011-02-14,7.6,-49.55,0.0,0.0,0.0,0.0,-0.28,9.95,120.61
2011-02-15,2.77,-30.33,0.0,0.0,0.0,0.0,-0.49,10.25,76.09
2011-02-16,-13.14,38.63,0.0,0.0,0.0,0.0,-4.69,10.25,67.02
2011-02-17,-18.32,-79.53,0.0,0.0,0.0,0.0,-0.02,10.25,-23.87
2011-02-18,-28.79,8.12,0.0,0.0,0.0,0.0,0.0,10.24,0.71
2011-02-21,13.5,-109.14,0.0,0.0,0.0,0.0,0.0,3.14,54.79
2011-02-22,10.35,37.26,0.0,0.0,0.0,0.0,0.03,16.34,8.43
2011-02-24,14.62,-81.74,0.0,0.0,0.0,0.0,0.0,4.37,145.41
2011-02-25,6.28,-170.02,0.0,0.0,0.0,0.0,0.03,6.66,40.19
2011-02-28,31.8,-46.62,0.0,0.0,0.0,0.0,0.0,10.13,119.38
2011-03-01,16.79,27.38,0.0,0.0,0.0,0.0,0.0,10.11,-124.45
2011-03-02,-5.51,43.83,0.0,0.0,0.0,0.0,0.0,8.09,-151.95
2011-03-03,-20.19,56.67,0.0,0.0,0.0,0.0,0.18,8.56,69.1
2011-03-04,-43.33,23.17,0.0,0.0,0.0,0.0,0.0,8.48,19.96
